x,y,z,x_c,y_c,z_c,altG,lonG,latG,dop,hdop,altP
-788,15,-1311,-754,39,-1502,0,0,0,0,0,208466,
-785,23,-1349,-754,38,-1495,0,0,0,0,0,206428,
-743,15,-1353,-754,38,-1488,0,0,0,0,0,206938,
-763,3,-1298,-754,37,-1482,0,0,0,0,0,207448,
-744,15,-1353,-755,36,-1475,0,0,0,0,0,207448,
-755,15,-1342,-755,35,-1469,0,0,0,0,0,206938,
-757,11,-1331,-754,35,-1463,0,0,0,0,0,208976,
-754,3,-1308,-755,33,-1456,0,0,0,0,0,207193,
-771,15,-1331,-755,32,-1450,0,0,0,0,0,208976,
-757,7,-1317,-755,32,-1444,0,0,0,0,0,207957,
-760,19,-1349,-755,31,-1438,0,0,0,0,0,208466,
-757,15,-1343,-755,31,-1432,0,0,0,0,0,209231,
-760,19,-1349,-755,30,-1427,0,0,0,0,0,208721,
-757,11,-1327,-756,29,-1421,0,0,0,0,0,208976,
-758,-3,-1277,-756,28,-1415,0,0,0,0,0,208466,
-763,7,-1309,-756,27,-1409,0,0,0,0,0,208466,
-766,19,-1348,-756,26,-1404,0,0,0,0,0,207957,
-760,-3,-1274,-755,25,-1398,0,0,0,0,0,207957,
-751,11,-1331,-755,24,-1393,0,0,0,0,0,208466,
-757,15,-1339,-755,23,-1388,0,0,0,0,0,208466,
-763,15,-1337,-756,22,-1382,0,0,0,0,0,208976,
-760,11,-1325,-756,22,-1377,0,0,0,0,0,208721,
-762,23,-1366,-756,21,-1372,0,0,0,0,0,208212,
-763,11,-1324,-756,20,-1367,0,0,0,0,0,208976,
-763,7,-1310,-756,19,-1361,0,0,0,0,0,207957,
-757,19,-1357,-756,19,-1356,0,0,0,0,0,208212,
-760,15,-1339,-755,18,-1351,0,0,0,0,0,208466,
-774,7,-1299,-755,17,-1346,0,0,0,0,0,208466,
-746,15,-1352,-756,16,-1341,0,0,0,0,0,208466,
-757,27,-1383,-756,16,-1337,0,0,0,0,0,207957,
-762,23,-1365,-756,15,-1332,0,0,0,0,0,208466,
-752,19,-1359,-756,14,-1327,0,0,0,0,0,208212,
-751,15,-1347,-756,14,-1323,0,0,0,0,0,208976,
-757,11,-1328,-757,14,-1318,0,0,0,0,0,207957,
-774,19,-1343,-757,13,-1314,0,0,0,0,0,207702,
-757,15,-1339,-757,12,-1310,0,0,0,0,0,208466,
-754,23,-1366,-757,12,-1305,0,0,0,0,0,208466,
-768,15,-1333,-757,11,-1301,0,0,0,0,0,208466,
-757,23,-1362,-757,11,-1297,0,0,0,0,0,209231,
-757,15,-1341,-757,10,-1293,0,0,0,0,0,208721,
-752,3,-1307,-758,9,-1289,0,0,0,0,0,208466,
-757,31,-1392,-758,9,-1285,0,0,0,0,0,208721,
-768,11,-1317,-758,8,-1281,0,0,0,0,0,208466,
-765,15,-1335,-759,8,-1277,0,0,0,0,0,208212,
-754,19,-1355,-759,8,-1274,0,0,0,0,0,208212,
-760,7,-1313,-760,7,-1270,0,0,0,0,0,207957,
-763,15,-1339,-759,6,-1266,0,0,0,0,0,208466,
-762,35,-1411,-759,6,-1263,0,0,0,0,0,208466,
-763,19,-1352,-759,5,-1259,0,0,0,0,0,208466,
-785,31,-1376,-759,5,-1256,0,0,0,0,0,208976,
-712,-15,-1283,-760,4,-1252,0,0,0,0,0,209231,
-762,15,-1334,-760,4,-1249,0,0,0,0,0,208976,
-751,19,-1355,-759,3,-1246,0,0,0,0,0,208721,
-754,15,-1340,-760,3,-1242,0,0,0,0,0,208466,
-757,3,-1299,-761,2,-1239,0,0,0,0,0,208976,
-765,19,-1346,-761,1,-1236,0,0,0,0,0,208976,
-757,3,-1301,-761,1,-1233,0,0,0,0,0,209231,
-763,15,-1335,-761,1,-1230,0,0,0,0,0,208466,
-768,19,-1345,-761,1,-1227,0,0,0,0,0,208466,
-760,31,-1390,-762,1,-1224,0,0,0,0,0,209231,
-751,11,-1332,-762,0,-1221,0,0,0,0,0,208466,
-766,19,-1346,-763,0,-1218,0,0,0,0,0,209231,
-760,19,-1353,-763,0,-1216,0,0,0,0,0,209231,
-765,15,-1337,-763,0,-1213,0,0,0,0,0,209486,
-760,23,-1366,-763,0,-1210,0,0,0,0,0,209486,
-749,7,-1324,-763,0,-1208,0,0,0,0,0,209486,
-757,15,-1340,-764,-1,-1205,0,0,0,0,0,208976,
-757,19,-1357,-763,-1,-1203,0,0,0,0,0,208976,
-763,3,-1301,-763,-2,-1201,0,0,0,0,0,208976,
