x,y,z,x_c,y_c,z_c,altG,lonG,latG,dop,hdop,altP
-1671,-788,-85,-1552,-777,-307,0,0,0,0,0,279381,
-1473,-774,-413,-1553,-777,-306,0,0,0,0,0,279894,
-1468,-776,-420,-1553,-777,-305,0,0,0,0,0,280921,
-1669,-774,-91,-1554,-777,-304,0,0,0,0,0,280921,
-1471,-779,-416,-1554,-777,-304,0,0,0,0,0,281434,
-1672,-794,-84,-1554,-777,-303,0,0,0,0,0,281690,
-1472,-777,-418,-1555,-777,-302,0,0,0,0,0,281434,
-1464,-782,-431,-1555,-777,-301,0,0,0,0,0,280921,
-1466,-791,-422,-1556,-778,-300,0,0,0,0,0,281434,
-1470,-779,-421,-1556,-777,-300,0,0,0,0,0,280664,
-1473,-771,-423,-1556,-778,-300,0,0,0,0,0,281434,
-1471,-782,-417,-1556,-778,-299,0,0,0,0,0,280664,
-1670,-779,-93,-1556,-778,-299,0,0,0,0,0,281434,
-1473,-771,-420,-1556,-778,-299,0,0,0,0,0,281690,
-1669,-782,-92,-1556,-778,-298,0,0,0,0,0,281434,
-1471,-782,-415,-1556,-778,-298,0,0,0,0,0,280921,
-1685,-855,-67,-1579,-798,-270,0,0,0,0,0,281690,
-1698,-884,-53,-1460,-876,-438,0,0,0,0,0,281177,
-1315,-930,-571,-1102,-1056,-831,0,0,0,0,0,281177,
-791,-960,-1154,-562,-997,-1346,0,0,0,0,0,281690,
-180,-637,-1555,-260,-632,-1581,0,0,0,0,0,281177,
-8,-201,-1654,-107,-329,-1650,0,0,0,0,0,281177,
118,-303,-1350,38,-205,-1643,0,0,0,0,0,281177,
50,-124,-1320,15,-65,-1591,0,0,0,0,0,281861,
-94,-29,-1132,-10,58,-1563,0,0,0,0,0,281434,
401,-49,-1290,90,65,-1538,0,0,0,0,0,281434,
39,-82,-976,75,100,-1521,0,0,0,0,0,281434,
63,80,-1313,74,79,-1630,0,0,0,0,0,281177,
139,-511,-863,64,61,-1697,0,0,0,0,0,280664,
85,-107,-1443,66,-19,-1688,0,0,0,0,0,281434,
43,-160,-1324,60,-44,-1657,0,0,0,0,0,281177,
40,-142,-1400,41,-75,-1639,0,0,0,0,0,281861,
7,-165,-1318,36,-57,-1618,0,0,0,0,0,281690,
39,-159,-1333,39,-71,-1603,0,0,0,0,0,281434,
37,-100,-1442,37,-74,-1596,0,0,0,0,0,282204,
40,-144,-1378,37,-77,-1584,0,0,0,0,0,282460,
49,-175,-1332,36,-84,-1570,0,0,0,0,0,282204,
54,-73,-1464,38,-65,-1562,0,0,0,0,0,281690,
45,-86,-1346,40,-21,-1540,0,0,0,0,0,282460,
39,0,-1372,9,33,-1513,0,0,0,0,0,282460,
31,81,-1385,14,78,-1474,0,0,0,0,0,281861,
-107,-12,-1257,-1,30,-1469,0,0,0,0,0,281861,
87,-181,-1109,19,45,-1432,0,0,0,0,0,282460,
39,-71,-1251,49,6,-1437,0,0,0,0,0,282460,
48,36,-1377,47,28,-1438,0,0,0,0,0,282717,
85,-19,-1268,64,45,-1430,0,0,0,0,0,282460,
