x,y,z,x_c,y_c,z_c,altG,lonG,latG,dop,hdop,altP
2955,-237,607,2986,-232,603,301,19552048,50045944,59,23,258960,
2972,-258,581,2985,-232,603,301,19552048,50045944,59,23,258960,
2964,-237,599,2985,-232,603,301,19552048,50045944,59,23,259729,
2959,-241,605,2984,-232,603,301,19552048,50045944,59,23,260497,
2957,-231,611,2984,-232,603,301,19552048,50045944,59,23,260241,
2973,-241,592,2984,-232,603,301,19552048,50045944,59,23,260497,
2968,-232,603,2983,-233,603,301,19552048,50045944,59,23,260497,
2957,-228,615,2983,-233,603,301,19552048,50045944,59,23,260753,
2968,-220,609,2983,-233,603,301,19552048,50045944,59,23,260241,
2979,-242,587,2983,-233,603,301,19552048,50045944,59,23,260241,
2978,-247,584,2983,-233,603,301,19552048,50045944,59,23,261009,
2958,-234,610,2982,-233,603,301,19552048,50045944,59,23,261265,
2965,-240,603,2981,-233,603,301,19552048,50045944,59,23,261265,
2970,-231,601,2981,-234,603,301,19552048,50045944,59,23,260753,
2971,-247,593,2980,-234,603,301,19552048,50045944,59,23,260241,
2958,-237,608,2981,-234,604,301,19552048,50045944,59,23,261522,
2962,-223,614,2980,-234,604,301,19552048,50045944,59,23,261009,
2962,-235,607,2980,-233,604,301,19552048,50045944,59,23,261522,
2946,-225,626,2979,-234,604,301,19552048,50045944,59,23,261265,
2973,-240,589,2979,-233,604,301,19552048,50045944,59,23,260753,
2968,-228,600,2979,-233,604,301,19552048,50045944,59,23,261522,
2955,-229,612,2979,-234,604,301,19552048,50045944,59,23,261265,
2969,-224,601,2978,-234,604,301,19552048,50045944,59,23,261009,
2971,-242,591,2978,-233,604,301,19552048,50045944,59,23,260497,
2956,-235,612,2978,-233,604,301,19552048,50045944,59,23,260753,
2958,-234,608,2978,-234,605,301,19552048,50045944,59,23,261009,
2954,-238,610,2978,-234,604,301,19552048,50045944,59,23,261777,
2970,-243,592,2978,-234,604,301,19552048,50045944,59,23,261522,
2962,-230,608,2978,-234,604,301,19552048,50045944,59,23,261522,
2966,-223,606,2977,-234,604,301,19552048,50045944,59,23,261777,
2958,-234,609,2977,-234,604,301,19552048,50045944,59,23,261777,
2964,-234,604,2976,-234,604,301,19552048,50045944,59,23,262034,
2973,-244,590,2976,-234,605,301,19552048,50045944,59,23,261522,
2956,-236,611,2976,-234,605,301,19552048,50045944,59,23,262034,
2971,-225,603,2976,-234,605,301,19552048,50045944,59,23,261777,
2964,-232,605,2976,-235,605,301,19552048,50045944,59,23,261777,
2962,-223,613,2975,-235,605,301,19552048,50045944,59,23,261009,
2968,-245,595,2975,-235,604,301,19552048,50045944,59,23,261522,
2982,-203,600,2975,-234,604,301,19552048,50045944,59,23,261777,
2966,-231,601,2975,-234,604,301,19552048,50045944,59,23,262034,
2958,-234,611,2975,-235,604,301,19552048,50045944,59,23,262290,
2974,-227,593,2975,-234,604,301,19552048,50045944,59,23,262034,
2952,-224,619,2975,-234,604,301,19552048,50045944,59,23,261522,
2970,-243,592,2975,-235,604,301,19552048,50045944,59,23,261009,
2958,-242,603,2975,-235,604,301,19552048,50045944,59,23,261522,
2966,-236,600,2975,-235,604,301,19552048,50045944,59,23,262290,
2958,-227,612,2975,-235,604,301,19552048,50045944,59,23,261522,
2964,-230,606,2974,-235,604,301,19552048,50045944,59,23,261009,
2966,-238,599,2974,-235,604,301,19552048,50045944,59,23,261777,
2973,-240,593,2973,-235,604,301,19552048,50045944,59,23,261522,
2980,-244,584,2974,-235,604,301,19552048,50045944,59,23,262034,
2965,-236,605,2973,-235,604,301,19552048,50045944,59,23,262546,
2971,-229,602,2973,-235,605,301,19552048,50045944,59,23,261522,
2970,-243,595,2972,-235,605,301,19552048,50045944,59,23,262034,
2960,-229,613,2972,-235,605,301,19552048,50045944,59,23,261777,
2966,-238,600,2972,-235,605,301,19552048,50045944,59,23,262546,
2965,-228,608,2972,-235,605,301,19552048,50045944,59,23,262034,
2965,-228,607,2973,-234,605,301,19552048,50045944,59,23,261522,
2962,-241,603,2973,-235,605,301,19552048,50045944,59,23,261522,
2975,-249,586,2973,-236,605,301,19552048,50045944,59,23,262034,
2971,-226,601,2973,-236,604,301,19552048,50045944,59,23,262546,
2957,-224,615,2972,-236,604,301,19552048,50045944,59,23,262546,
2968,-241,594,2972,-235,604,301,19552048,50045944,59,23,261777,
2955,-240,608,2972,-235,604,301,19552048,50045944,59,23,262290,
2958,-226,613,2971,-235,604,301,19552048,50045944,59,23,261777,
2966,-235,600,2971,-235,604,301,19552048,50045944,59,23,262034,
2958,-237,605,2971,-235,604,301,19552048,50045944,59,23,261777,
2971,-222,601,2971,-235,604,301,19552048,50045944,59,23,261522,
2963,-235,603,2972,-235,604,301,19552048,50045944,59,23,262290,
2963,-239,599,2971,-235,604,301,19552048,50045944,59,23,261777,
2962,-235,605,2971,-235,604,301,19552048,50045944,59,23,261777,
2966,-239,600,2971,-235,604,301,19552048,50045944,59,23,262034,
2968,-228,602,2971,-235,605,301,19552048,505941,59,23,262034,
2959,-229,612,2971,-235,605,301,19552048,505941,59,23,261522,
2954,-226,619,2970,-235,605,301,19552048,505941,59,23,261522,
2970,-243,593,2970,-236,605,301,19552048,505941,59,23,263058,
2975,-226,598,2970,-236,605,301,19552048,505941,59,23,262034,
2978,-227,593,2971,-236,604,301,19552048,505941,59,23,262290,
2964,-224,610,2970,-236,604,301,19552048,50045944,59,23,262546,
2960,-233,610,2970,-236,604,301,19552048,50045944,59,23,262546,
2958,-234,612,2969,-236,604,301,19552048,50045944,59,23,262290,
2968,-233,603,2970,-236,604,301,19552048,50045944,59,23,262290,
2966,-226,607,2970,-236,604,301,19552048,50045944,59,23,261522,
2975,-229,594,2970,-236,604,301,19552048,50045944,59,23,262034,
2970,-239,595,2969,-236,604,301,19552048,50045944,59,23,262290,
2965,-251,594,2969,-236,604,301,19552048,50045944,59,23,262034,
2966,-246,596,2969,-236,604,301,19552048,50045944,59,23,262290,
2949,-226,622,2969,-236,604,301,19552048,50045944,59,23,261777,
2975,-238,588,2969,-237,604,301,19552048,50045944,59,23,262290,
2966,-230,604,2969,-236,604,301,19552048,50045944,59,23,262034,
2963,-229,604,2969,-235,604,301,19552048,50045944,59,23,262546,
2970,-243,591,2969,-236,604,301,19552048,50045944,59,23,262034,
2946,-233,619,2969,-236,604,301,19552048,50045944,59,23,262034,
2962,-235,603,2968,-237,604,301,19552048,50045944,59,23,262034,
2963,-237,602,2967,-237,604,301,19552048,50045944,59,23,261777,
2962,-234,605,2968,-237,604,301,19552048,50045944,59,23,262034,
2964,-245,596,2968,-237,604,301,19552048,50045944,59,23,262546,
2968,-241,596,2969,-236,604,301,19552048,50045944,59,23,262546,
2968,-233,598,2968,-237,604,301,19552048,50045944,59,23,262802,
2970,-247,593,2968,-237,604,301,19552048,50045944,59,23,263058,
2958,-227,616,2967,-237,604,301,19552048,50045944,59,23,262290,
2966,-227,606,2968,-237,604,301,19552048,50045944,59,23,262290,
2958,-238,609,2967,-236,604,301,19552048,50045944,59,23,262290,
2974,-223,600,2967,-236,604,301,19552048,50045944,59,23,263058,
2962,-246,600,2966,-237,604,301,19552048,50045944,59,23,262290,
2971,-234,599,2966,-237,604,301,19552048,50045944,59,23,262546,
2960,-239,608,2966,-238,605,301,19552048,50045944,59,23,262290,
2971,-239,594,2966,-238,604,301,19552048,50045944,59,23,262546,
2971,-241,594,2966,-237,604,301,19552048,50045944,59,23,262546,
2973,-241,594,2966,-237,604,301,19552048,50045944,59,23,262546,
2965,-232,606,2966,-237,605,301,19552048,50045944,59,23,262546,
2975,-230,594,2966,-237,605,301,19552048,50045944,59,23,262546,
2966,-234,601,2966,-237,605,301,19552048,45941,59,23,262290,
2965,-251,593,2966,-237,605,301,19552048,45941,59,23,262546,
2966,-223,608,2966,-237,605,301,19552048,45941,59,23,262546,
2970,-235,597,2966,-237,605,301,19552048,45941,59,23,262802,
2968,-220,607,2966,-237,605,301,19552048,45941,59,23,262290,
2962,-250,598,2966,-237,605,301,19552048,45941,59,23,262802,
2958,-226,615,2966,-237,605,301,19552048,50045944,59,23,263400,
2946,-233,625,2965,-237,605,301,19552048,50045944,59,23,262802,
2951,-236,617,2965,-237,605,301,19552048,50045944,59,23,262546,
2970,-223,608,2965,-238,605,301,19552048,50045944,59,23,263058,
2979,-227,594,2965,-238,605,301,19552048,50045944,59,23,262546,
2961,-232,611,2965,-237,605,301,19552048,50045944,59,23,263058,
2970,-235,599,2965,-237,605,301,19552048,50045944,59,23,262546,
2968,-234,602,2964,-237,605,301,19552048,50045944,59,23,262546,
2959,-240,609,2965,-237,605,301,19552048,50045944,59,23,262546,
2958,-231,612,2964,-238,605,301,19552048,50045944,59,23,263058,
2952,-231,619,2964,-237,605,301,19552048,50045944,59,23,263058,
2965,-232,604,2964,-237,605,301,19552048,50045944,59,23,262034,
2971,-238,592,2964,-237,605,301,19552048,50045944,59,23,263058,
2964,-228,607,2964,-237,605,301,19552048,50045944,59,23,262802,
2965,-244,598,2964,-238,605,301,19552048,50045944,59,23,263058,
2966,-246,593,2964,-238,605,301,19552048,50045944,59,23,262546,
2966,-231,601,2965,-238,605,301,19552048,50045944,59,23,263058,
2958,-227,613,2964,-238,605,301,19552048,50045944,59,23,263058,
2957,-239,607,2965,-238,605,301,19552048,50045944,59,23,263656,
2955,-221,619,2965,-237,605,301,19552048,50045944,59,23,263058,
2950,-229,618,2964,-237,605,301,19552048,50045944,59,23,262546,
2958,-230,608,2964,-237,604,301,19552048,50045944,59,23,263058,
2972,-228,597,2964,-237,604,301,19552048,50045944,59,23,263058,
2961,-239,602,2964,-237,604,301,19552048,50045944,59,23,263058,
2973,-243,590,2964,-237,604,301,19552048,50045944,59,23,263058,
2973,-252,587,2964,-238,604,301,19552048,50045944,59,23,262546,
2963,-217,616,2964,-238,604,301,19552048,50045944,59,23,262290,
2957,-231,615,2964,-238,605,301,19552048,50045944,59,23,263058,
2964,-233,607,2964,-238,604,301,19552048,50045944,59,23,262546,
2964,-245,599,2964,-238,604,301,19552048,50045944,59,23,263058,
2958,-231,611,2964,-237,604,301,19552048,50045944,59,23,262546,
2962,-230,610,2965,-237,604,301,19552048,50045944,59,23,262802,
2966,-235,603,2964,-237,604,301,19552048,50045944,59,23,262802,
2973,-232,599,2964,-238,604,301,19552048,50045944,59,23,262802,
2970,-235,598,2964,-237,604,301,0,50045944,59,23,263058,
2972,-242,592,2964,-237,604,301,0,50045944,59,23,263058,
2970,-243,591,2964,-237,605,301,0,50045944,59,23,262802,
2964,-237,602,2963,-237,605,301,0,50045944,59,23,263058,
2957,-228,613,2962,-237,605,301,0,50045944,59,23,262802,
2964,-242,598,2962,-237,605,301,0,50045944,59,23,263058,
2968,-234,599,2963,-238,605,301,19552048,50045944,59,23,262546,
2965,-240,597,2963,-238,605,301,19552048,50045944,59,23,262802,
2961,-243,599,2963,-238,605,301,19552048,50045944,59,23,262802,
2967,-233,600,2963,-239,605,301,19552048,50045944,59,23,262802,
2954,-223,618,2963,-238,605,301,19552048,50045944,59,23,263058,
2963,-237,601,2963,-237,605,301,19552048,50045944,59,23,263058,
2969,-228,600,2962,-237,605,301,19552048,50045944,59,23,263058,
2962,-231,607,2963,-238,605,301,19552048,50045944,59,23,263400,
2973,-227,598,2963,-238,605,301,19552048,50045944,59,23,262802,
2973,-239,593,2963,-238,604,301,19552048,50045944,59,23,263058,
2973,-244,588,2964,-238,604,301,19552048,50045944,59,23,262546,
2973,-237,594,2963,-237,604,301,19552048,50045944,0,0,263058,
2971,-242,595,2963,-238,604,301,19552048,50045944,0,0,263656,
2960,-237,606,2962,-237,605,301,19552048,50045944,0,0,263058,
2957,-239,611,2963,-237,605,301,19552048,50045944,0,0,263656,
2963,-237,607,2963,-237,604,301,19552048,50045944,0,0,263656,
2970,-247,592,2962,-238,605,301,19552048,50045944,0,0,262546,
2962,-231,610,2963,-237,604,301,19552048,50045944,0,0,263400,
2963,-233,606,2963,-237,604,301,19552048,50045944,0,0,263058,
2966,-234,601,2963,-238,604,301,19552048,50045944,0,0,263058,
2960,-225,612,2962,-237,604,301,19552048,50045944,0,23,263058,
2980,-233,587,2962,-237,604,301,19552048,50045944,59,23,263400,
2964,-234,604,2962,-237,604,301,19552048,50045944,59,23,262546,
